İlan Numarası,price,location,İlan Güncelleme Tarihi,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Tipi,Eşya Durumu,Banyo Sayısı,Balkon Sayısı,WC Sayısı,İlan Oluşturma Tarihi,Türü,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Site İçerisinde,Takas,Balkon Durumu,Balkon Tipi,Fiyat Durumu,Tapu Durumu,İpotek Durumu,Kira Getirisi,Yapı Durumu,Zemin Etüdü,Görüntülü Gezilebilir mi?,Aidat,Banyo Metrekare,Balkon Metrekare,WC Metrekare,Salon Metrekare,Ada,Parsel,Pafta,Balkon Tipi Fransız Balkon
14174819,"3,900,000TL",Antalya - Manavgat - Sarılar Mahallesi,18 Aralık 2023,Satılık,99 M2,2+1,2.Kat,Klimalı,Krediye Uygun,,Boş,1,,,28 Ekim 2023,Konut,Daire,100 M2,0 (Yeni),4,Boş,Bilinmiyor,Evet,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14170025,"2,290,000TLarrow_downward%7",Antalya - Döşemealtı - Bahçeyaka Mahallesi,06 Aralık 2023,Satılık,80 M2,2+1,Yüksek Giriş,Klimalı,Krediye Uygun Değil,,Boş,1,,,27 Ekim 2023,Konut,Daire,90 M2,0 (Yeni),2,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14137331,"8,410,000TL",Antalya - Manavgat - Side Mahallesi,19 Aralık 2023,Satılık,107 M2,3+1,2.Kat,Klimalı,Krediye Uygun,Betonarme,,3,,,21 Ekim 2023,Konut,Daire,130 M2,0 (Yeni),2,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,Kat İrtifakı,,,Sıfır,,,,,,,,,,,
14128334,"2,121,000TLarrow_downward%2",Antalya - Alanya - Avsallar Mahallesi,10 Aralık 2023,Satılık,49 M2,1+1,5.Kat,Klimalı,Krediye Uygun,,Boş,1,,,19 Ekim 2023,Konut,Daire,54 M2,0 (Yeni),9,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14095874,"3,700,000TL",Antalya - Manavgat - Kasaplar Mahallesi,19 Aralık 2023,Satılık,95 M2,3+1,1.Kat,Klimalı,Krediye Uygun,,,1,,,13 Ekim 2023,Konut,Daire,100 M2,0 (Yeni),3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Kat İrtifakı,,,Sıfır,,,,,,,,,,,
14091281,"3,450,000TLarrow_downward%90",Antalya - Serik - Belek Mahallesi,16 Aralık 2023,Satılık,80 M2,2+1,3.Kat,Klimalı,Bilinmiyor,,,1,,,12 Ekim 2023,Konut,Daire,95 M2,11-15,3,Boş,,Evet,,,,Genel Fiyat,,Yok,,,,,500 TL,,,,,,,,
14091123,"2,945,000TL",Antalya - Serik - Belek Mahallesi,09 Aralık 2023,Satılık,80 M2,2+1,3.Kat,Klimalı,Bilinmiyor,,Boş,1,,,12 Ekim 2023,Konut,Daire,95 M2,11-15,3,Mülk Sahibi Oturuyor,,Evet,,,,Genel Fiyat,,Yok,15000 TL,,,,200 TL,,,,,,,,
14090787,"3,100,000TLarrow_downward%9",Antalya - Kepez - Duacı Mahallesi,04 Aralık 2023,Satılık,120 M2,3+1,Düz Giriş (Zemin),Klimalı,Krediye Uygun,,Boş,2,,,12 Ekim 2023,Konut,Daire,125 M2,4,4,Kiracı Oturuyor,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14085035,"5,450,000TL",Antalya - Muratpaşa - Elmalı Mahallesi,18 Aralık 2023,Satılık,150 M2,3+1,Yüksek Giriş,Isıtma Yok,Krediye Uygun,,,Yok,,,11 Ekim 2023,Konut,Daire,155 M2,21 Ve Üzeri,6,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14077804,"2,734,700TL",Antalya - Manavgat - Evrenseki Mahallesi,20 Aralık 2023,Satılık,47 M2,1+1,Bahçe Katı,Klimalı,Krediye Uygun,Betonarme,Boş,1,,1,10 Ekim 2023,Konut,Daire,63 M2,0 (Yeni),3,Boş,Yatırıma Uygun,Hayır,Var,Var,,Genel Fiyat,Kat İrtifakı,Yok,,Sıfır,,Evet,,,,,,,,,
14077029,"3,800,000TLarrow_downward%13",Antalya - Manavgat - Side Mahallesi,20 Aralık 2023,Satılık,120 M2,2+1,Bahçe Katı,Klimalı,Krediye Uygun,,Eşyalı,2,,,10 Ekim 2023,Konut,Daire,130 M2,11-15,4,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14077012,"2,350,000TLarrow_downward%6",Antalya - Kepez - Ayanoğlu Mahallesi,15 Aralık 2023,Satılık,60 M2,2+1,Yüksek Giriş,Klimalı,Krediye Uygun,,,1,1,1,10 Ekim 2023,Konut,Daire,70 M2,0 (Yeni),4,Boş,,Hayır,Var,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,Yok,10000 TL,Sıfır,,Evet,200 TL,,,,,,,,
14076903,"2,750,000TL",Antalya - Muratpaşa - Yüksekalan Mahallesi,18 Aralık 2023,Satılık,130 M2,3+1,4.Kat,Isıtma Yok,Krediye Uygun,,,1,,,10 Ekim 2023,Konut,Daire,135 M2,16-20,4,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14071876,"3,800,000TLarrow_downward%13",Antalya - Manavgat - Side Mahallesi,20 Aralık 2023,Satılık,120 M2,2+1,Bahçe Dublex,Klimalı,Krediye Uygun,Betonarme,Eşyalı,2,,3,09 Ekim 2023,Konut,Daire,130 M2,11-15,4,Boş,,Evet,Yok,Var,,Genel Fiyat,Kat Mülkiyeti,Yok,20000 TL,İkinci El,,Hayır,1000 TL,,,,,,,,
14043167,"4,500,000TL",Antalya - Muratpaşa - Elmalı Mahallesi,18 Aralık 2023,Satılık,70 M2,1+1,3.Kat,Isıtma Yok,Krediye Uygun,,,1,,,04 Ekim 2023,Konut,Daire,75 M2,21 Ve Üzeri,7,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14032981,"4,400,000TL",Antalya - Alanya - Güller Pınarı Mahallesi,19 Aralık 2023,Satılık,120 M2,3+1,1.Kat,Klimalı,Krediye Uygun,,,1,,2,02 Ekim 2023,Konut,Daire,130 M2,16-20,3,Boş,Yatırıma Uygun,Hayır,,Var,,Genel Fiyat,Kat Mülkiyeti,,15000 TL,İkinci El,,,100 TL,,,,,,,,
14009326,"3,250,000TL",Antalya - Manavgat - Sarılar Mahallesi,18 Aralık 2023,Satılık,60 M2,1+1,Bahçe Katı,Yerden Isıtma,Krediye Uygun,,,1,,,28 Eylül 2023,Konut,Daire,80 M2,0 (Yeni),6,Boş,,Evet,,,,Genel Fiyat,Kat İrtifakı,,,,,,,,,,,,,,
14007435,"4,750,000TLarrow_downward%2",Antalya - Muratpaşa - Güvenlik Mahallesi,18 Aralık 2023,Satılık,130 M2,3+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,,,1,,,27 Eylül 2023,Konut,Daire,135 M2,4,7,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
13993814,"28,250,000TL",Antalya - Alanya - Kargıcak Mahallesi,18 Aralık 2023,Satılık,300 M2,4+1,,Klimalı,Krediye Uygun,,Boş,4,,,25 Eylül 2023,Konut,Villa,380 M2,0 (Yeni),4,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
13985490,"3,700,000TLarrow_downward%3",Antalya - Alanya - Oba Mahallesi,20 Aralık 2023,Satılık,100 M2,2+1,Yüksek Giriş,Klimalı,Krediye Uygun,Betonarme,Eşyalı,1,,1,23 Eylül 2023,Konut,Daire,120 M2,11-15,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,Hayır,Var,Var,,Genel Fiyat,Kat Mülkiyeti,Var,15000 TL,İkinci El,Var,Evet,650 TL,,,,,,,,
13984649,"4,500,000TL",Antalya - Alanya - Oba Mahallesi,20 Aralık 2023,Satılık,110 M2,2+1,2.Kat,Klimalı,Krediye Uygun,Betonarme,Eşyalı,1,,2,23 Eylül 2023,Konut,Daire,120 M2,16-20,4,Boş,Yatırıma Uygun,Hayır,Var,Var,,Genel Fiyat,Kat Mülkiyeti,Yok,15000 TL,İkinci El,,Evet,50 TL,,,,,,,,
13975152,"4,250,000TL",Antalya - Alanya - Cikcilli Mahallesi,20 Aralık 2023,Satılık,90 M2,2+1,7.Kat,Klimalı,Krediye Uygun,Betonarme,Eşyalı,2,2,2,21 Eylül 2023,Konut,Daire,100 M2,5-10,10,Mülk Sahibi Oturuyor,Yatırıma Uygun,Evet,,Var,Açık Balkon,Genel Fiyat,Kat İrtifakı,Yok,,İkinci El,,Evet,,,,,,,,,
13961328,"2,950,000TLarrow_downward%9",Antalya - Alanya - Oba Mahallesi,20 Aralık 2023,Satılık,100 M2,2+1,Yüksek Giriş,Klimalı,Krediye Uygun,Betonarme,Boş,2,2,2,19 Eylül 2023,Konut,Daire,105 M2,16-20,4,Kiracı Oturuyor,Yatırıma Uygun,Hayır,Var,Var,,Genel Fiyat,Kat Mülkiyeti,,10000 TL,İkinci El,,Evet,200 TL,,,,,,,,
13957549,"6,000,000TL",Antalya - Konyaaltı - Hisarçandır Mahallesi,06 Aralık 2023,Satılık,200 M2,2+1,,Klimalı,Krediye Uygun,,Boş,1,,,19 Eylül 2023,Konut,Müstakil Ev,509 M2,11-15,1,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
13906726,"5,000,000TLarrow_downward%2",Antalya - Serik - Akçaalan Mahallesi,20 Aralık 2023,Satılık,300 M2,5+2,6.Kat,Klimalı,Krediye Uygun,Betonarme,Boş,2,3,2,11 Eylül 2023,Konut,Daire,320 M2,4,6,Boş,Yatırıma Uygun,Hayır,Yok,Var,,Genel Fiyat,Kat Mülkiyeti,Yok,,,Var,Hayır,,,,,,,,,
13878615,"2,600,000TL",Antalya - Kumluca - Bağlık Mahallesi,06 Aralık 2023,Satılık,90 M2,2+1,2.Kat,Klimalı,Krediye Uygun Değil,,Boş,1,,,06 Eylül 2023,Konut,Daire,110 M2,2,3,Kiracı Oturuyor,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
13859611,"1,829,000TL",Antalya - Muratpaşa - Muratpaşa Mahallesi,07 Aralık 2023,Satılık,70 M2,1+1,2.Kat,Klimalı,Krediye Uygun,,Boş,1,,,03 Eylül 2023,Konut,Daire,80 M2,5-10,4,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
13837850,"23,900,000TLarrow_downward%8",Antalya - Kaş - Bezirgan Mahallesi,14 Aralık 2023,Satılık,1.500 M2,9+ Oda,,Klimalı,Krediye Uygun,Betonarme,,6+,,,30 Ağustos 2023,Konut,Villa,2.250 M2,0 (Yeni),2,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,,,,Sıfır,,,,,,,,,,,
13808579,"1,875,000TL",Antalya - Kepez - Demirel Mahallesi,16 Aralık 2023,Satılık,125 M2,3+1,3.Kat,Klimalı,Krediye Uygun,,Boş,1,,1,25 Ağustos 2023,Konut,Daire,140 M2,21 Ve Üzeri,6,Kiracı Oturuyor,,Hayır,Var,,,Genel Fiyat,,,,İkinci El,,,,,,,,,,,
13767768,"12,000,000TL",Antalya - Alanya - Oba Mahallesi,19 Aralık 2023,Satılık,145 M2,3+1,4.Kat,Klimalı,Krediye Uygun,Betonarme,Boş,2,3,3,18 Ağustos 2023,Konut,Daire,165 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Hayır,Var,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,Yok,40000 TL,Sıfır,Var,Evet,1 TL,,,,,,,,
13751039,"3,750,000TL",Antalya - Kepez - Fevzi Çakmak Mahallesi,04 Aralık 2023,Satılık,110 M2,2+1,2.Kat,Isıtma Yok,Krediye Uygun,,Boş,1,,,16 Ağustos 2023,Konut,Daire,120 M2,0 (Yeni),6,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Bilinmiyor,,,,,,,,,,,,,,
13725451,"4,399,000TLarrow_downward%2",Antalya - Serik - Belek Mahallesi,20 Aralık 2023,Satılık,90 M2,2+1,2.Kat,Klimalı,Krediye Uygun,,Boş,2,2,2,11 Ağustos 2023,Konut,Daire,100 M2,11-15,3,Mülk Sahibi Oturuyor,,Hayır,,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,,,,,,,,,,,,,,
13723231,"10,500,000TL",Antalya - Serik - Kadriye Mahallesi,09 Aralık 2023,Satılık,190 M2,4+1,,Klimalı,Bilinmiyor,,,5,,5,11 Ağustos 2023,Konut,Villa,300 M2,0 (Yeni),3,Mülk Sahibi Oturuyor,Yatırıma Uygun,Hayır,,,,Genel Fiyat,Müstakil Tapulu,Yok,50000 TL,,,,0 TL,,,,,,,,
13711779,"4,560,000TLarrow_downward%5",Antalya - Alanya - Tosmur Mahallesi,20 Aralık 2023,Satılık,140 M2,3+1,2.Kat,Klimalı,Krediye Uygun,Betonarme,,2,,2,09 Ağustos 2023,Konut,Daire,155 M2,11-15,5,Boş,Yatırıma Uygun,Hayır,,Var,,Genel Fiyat,Kat Mülkiyeti,Yok,15000 TL,İkinci El,,Evet,,,,,,,,,
13711251,"5,000,000TL",Antalya - Alanya - Avsallar Mahallesi,21 Kasım 2023,Satılık,90 M2,2+1,Çatı Dubleks,Klimalı,Krediye Uygun,Betonarme,Boş,2,1,2,09 Ağustos 2023,Konut,Daire,105 M2,0 (Yeni),7,Boş,Yatırıma Uygun,Hayır,Var,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,,,Sıfır,,Evet,300 TL,,,,,,,,
13700186,"3,950,000TL",Antalya - Aksu - Altıntaş Mahallesi,06 Aralık 2023,Satılık,100 M2,2+1,4.Kat,Klimalı,Krediye Uygun,,,1,,,07 Ağustos 2023,Konut,Daire,120 M2,0 (Yeni),5,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
13700181,"3,400,000TL",Antalya - Aksu - Altıntaş Mahallesi,06 Aralık 2023,Satılık,60 M2,1+1,4.Kat,Klimalı,Krediye Uygun,,,1,,,07 Ağustos 2023,Konut,Daire,70 M2,0 (Yeni),5,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
13665578,"5,700,000TL",Antalya - Alanya - Oba Mahallesi,16 Aralık 2023,Satılık,125 M2,3+1,2.Kat,Klimalı,Krediye Uygun,Betonarme,Boş,2,1,2,01 Ağustos 2023,Konut,Daire,135 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Hayır,Yok,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,Yok,25000 TL,Sıfır,,Evet,1 TL,,,,,,,,
13474864,"26,000,000TL",Antalya - Kepez - Duacı Mahallesi,04 Aralık 2023,Satılık,350 M2,6+1,,Isıtma Yok,Krediye Uygun,,Boş,3,,,24 Haziran 2023,Konut,Villa,360 M2,16-20,3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,Bilinmiyor,,,,,,,,,,,,,,
13403846,"2,850,000TLarrow_downward%2",Antalya - Muratpaşa - Sinan Mahallesi,14 Aralık 2023,Satılık,60 M2,2+1,Düz Giriş (Zemin),Isıtma Yok,Krediye Uygun,,,Yok,,,12 Haziran 2023,Konut,Daire,65 M2,21 Ve Üzeri,5,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
13012768,"3,200,000TLarrow_downward%11",Antalya - Alanya - Payallar Mahallesi,04 Ekim 2023,Satılık,52 M2,1+1,1.Kat,Klimalı,Bilinmiyor,Betonarme,Boş,1,,1,04 Nisan 2023,Konut,Daire,57 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Hayır,Var,Var,,Genel Fiyat,Kat İrtifakı,Yok,7000 TL,Sıfır,,Evet,,,,,,,,,
12920247,"5,100,000TLarrow_downward%4",Antalya - Alanya - Oba Mahallesi,20 Aralık 2023,Satılık,73 M2,2+1,1.Kat,Klimalı,Krediye Uygun Değil,Betonarme,Eşyalı,2,2,2,20 Mart 2023,Konut,Daire,120 M2,5-10,5,Boş,Yatırıma Uygun,Hayır,Yok,Var,,Genel Fiyat,Kat Mülkiyeti,Yok,15000 TL,İkinci El,,Evet,800 TL,,,,,,,,
12882784,"2,750,000TLarrow_downward%5",Antalya - Alanya - Güller Pınarı Mahallesi,19 Aralık 2023,Satılık,90 M2,2+1,1.Kat,Klimalı,Krediye Uygun,,,1,,,14 Mart 2023,Konut,Daire,95 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,Hayır,,Var,,Genel Fiyat,,,7000 TL,,,,50 TL,,,,,,,,
12840131,"4,800,000TL",Antalya - Serik - Belek Mahallesi,16 Aralık 2023,Satılık,120 M2,3+1,,Klimalı,Krediye Uygun,,,2,,2,08 Mart 2023,Konut,Villa,135 M2,11-15,3,Kiracı Oturuyor,Yatırıma Uygun,Evet,,,,Birim Fiyat,,,18000 TL,,,,300 TL,,,,,,,,
12795054,"5,500,000TL",Antalya - Alanya - Cumhuriyet Mahallesi,20 Aralık 2023,Satılık,125 M2,2+1,2.Kat,Klimalı,Krediye Uygun,Betonarme,Eşyalı,2,2,2,01 Mart 2023,Konut,Daire,132 M2,11-15,4,Kiracı Oturuyor,Yatırıma Uygun,Hayır,,Var,Açık Balkon,Genel Fiyat,Kat İrtifakı,Yok,15000 TL,İkinci El,,Evet,,,,,,,,,
12710970,"4,300,000TLarrow_downward%3",Antalya - Alanya - Oba Mahallesi,20 Aralık 2023,Satılık,73 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun Değil,Betonarme,Eşyalı,1,,1,13 Şubat 2023,Konut,Daire,89 M2,5-10,4,Boş,Yatırıma Uygun,Hayır,Yok,Var,,Birim Fiyat,Kat Mülkiyeti,Yok,15000 TL,İkinci El,,Hayır,935 TL,,,,,,,,
12602563,"3,850,000TLarrow_downward%10",Antalya - Alanya - Tosmur Mahallesi,20 Aralık 2023,Satılık,73 M2,2+1,2.Kat,Klimalı,Krediye Uygun Değil,Betonarme,,2,,,26 Ocak 2023,Konut,Daire,89 M2,0 (Yeni),5,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,Sıfır,,,500 TL,,,,,,,,
12598017,"3,900,000TL",Antalya - Alanya - Cumhuriyet Mahallesi,20 Aralık 2023,Satılık,90 M2,2+1,1.Kat,Klimalı,Krediye Uygun,Betonarme,,1,,1,26 Ocak 2023,Konut,Daire,100 M2,11-15,4,Boş,Yatırıma Uygun,Hayır,Var,Var,,Genel Fiyat,Kat İrtifakı,Yok,,,,Evet,,,,,,,,,
12527841,"4,000,000TLarrow_downward%5",Antalya - Kepez - Fevzi Çakmak Mahallesi,14 Aralık 2023,Satılık,125 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,,1,,,14 Ocak 2023,Konut,Daire,130 M2,0 (Yeni),6,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
12472219,"3,750,000TL",Antalya - Finike - Sahilkent Mahallesi,22 Kasım 2023,Satılık,125 M2,3+1,2.Kat,Klimalı,Krediye Uygun,,Eşyalı,2,2,1,05 Ocak 2023,Konut,Daire,135 M2,11-15,6,Boş,Bilinmiyor,Evet,Yok,Var,,Genel Fiyat,,Yok,,İkinci El,,Hayır,,,,,,,,,
11996181,"9,900,000TL",Antalya - Aksu - Altıntaş Mahallesi,19 Aralık 2023,Satılık,80 M2,1+1,6.Kat,Merkezi Doğalgaz,Krediye Uygun,Betonarme,Eşyalı,2,2,2,14 Ekim 2022,Konut,Daire,100 M2,0 (Yeni),12,Boş,Yatırıma Uygun,Hayır,Var,Var,Açık Teras,Genel Fiyat,Kat İrtifakı,Yok,30000 TL,Sıfır,,Evet,50 TL,10 M2,40 M2,3 M2,30 M2,15,15,15,
11900361,"9,800,000TL",Antalya - Aksu - Altıntaş Mahallesi,19 Aralık 2023,Satılık,69 M2,1+1,6.Kat,Merkezi Doğalgaz,Krediye Uygun,Betonarme,Eşyalı,2,2,2,29 Eylül 2022,Konut,Daire,89 M2,0 (Yeni),10,Boş,Yatırıma Uygun,Hayır,Yok,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,Yok,50000 TL,Sıfır,,Evet,1000 TL,15 M2,30 M2,10 M2,40 M2,12,12,12,
11885498,"20,450,000TL",Antalya - Alanya - Kargıcak Mahallesi,20 Aralık 2023,Satılık,250 M2,4+2,,Klimalı,Krediye Uygun,Betonarme,Eşyalı,4,3,4,27 Eylül 2022,Konut,Villa,275 M2,0 (Yeni),3,Boş,Yatırıma Uygun,Hayır,Yok,Var,Açık Balkon,Genel Fiyat,Kat Mülkiyeti,Yok,,Sıfır,,Hayır,,,,,,,,,
11802147,"4,550,000TL",Antalya - Finike - Sahilkent Mahallesi,13 Aralık 2023,Satılık,180 M2,4+1,4.Kat,Klimalı,Krediye Uygun,,,1,,,12 Eylül 2022,Konut,Daire,200 M2,11-15,8,Boş,,Evet,,,,Genel Fiyat,,,,,,,,,,,,,,,
11743130,"2,121,000TLarrow_downward%2",Antalya - Alanya - Avsallar Mahallesi,10 Aralık 2023,Satılık,53 M2,1+1,1.Kat,Klimalı,Krediye Uygun,,,1,,,05 Eylül 2022,Konut,Daire,55 M2,0 (Yeni),9,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14428023,"3,400,000TL",Antalya - Kepez - Şelale Mahallesi,20 Aralık 2023,Satılık,140 M2,3+1,8.Kat,Klimalı,Krediye Uygun Değil,,Boş,1,,,20 Aralık 2023,Konut,Daire,145 M2,3,10,Mülk Sahibi Oturuyor,Bilinmiyor,Evet,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
14427850,"2,850,000TL",Antalya - Alanya - Kızlar Pınarı Mahallesi,20 Aralık 2023,Satılık,55 M2,1+1,Düz Giriş (Zemin),Klimalı,Krediye Uygun,,,1,,,20 Aralık 2023,Konut,Daire,58 M2,3,12,Boş,,Hayır,,Yok,,Genel Fiyat,,,15000 TL,,,,700 TL,,,,,,,,
14427848,"3,400,000TL",Antalya - Gazipaşa - Gazi Mahallesi,20 Aralık 2023,Satılık,126 M2,3+1,5.Kat,Klimalı,Krediye Uygun,,Boş,2,,,20 Aralık 2023,Konut,Daire,140 M2,0 (Yeni),5,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
14427800,"2,600,000TL",Antalya - Muratpaşa - Fener Mahallesi,20 Aralık 2023,Satılık,65 M2,1+1,Bahçe Katı,Isıtma Yok,Krediye Uygun,Betonarme,Boş,1,1,1,20 Aralık 2023,Konut,Daire,75 M2,16-20,9,Kiracı Oturuyor,Yatırıma Uygun,Hayır,Yok,Var,Açık Balkon,Genel Fiyat,Kat İrtifakı,Yok,10000 TL,İkinci El,,Evet,,4 M2,8 M2,,15 M2,,,,
14427479,"5,500,000TL",Antalya - Döşemealtı - Yeşilbayır Mahallesi,20 Aralık 2023,Satılık,145 M2,3+1,Kot 2 (-2).Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Boş,2,2,2,20 Aralık 2023,Konut,Daire,185 M2,11-15,3,Boş,Yatırıma Uygun,Hayır,Yok,Var,Açık Balkon,Birim Fiyat,Kat Mülkiyeti,Yok,10000 TL,Sıfır,,Hayır,100 TL,7 M2,20 M2,1 M2,20 M2,,,,
14427271,"4,750,000TL",Antalya - Kemer - Çamyuva Mahallesi,20 Aralık 2023,Satılık,100 M2,2+1,2.Kat,Klimalı,Krediye Uygun,,Boş,1,,,20 Aralık 2023,Konut,Daire,120 M2,5-10,2,Mülk Sahibi Oturuyor,Bilinmiyor,Evet,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14427195,"2,700,000TL",Antalya - Alanya - Avsallar Mahallesi,20 Aralık 2023,Satılık,75 M2,2+1,4.Kat,Klimalı,Krediye Uygun Değil,,Boş,2,,,20 Aralık 2023,Konut,Daire,90 M2,5-10,7,Mülk Sahibi Oturuyor,,Hayır,Yok,,,Genel Fiyat,,,,İkinci El,,,,,,,,,,,
14427031,"2,500,000TL",Antalya - Kepez - Erenköy Mahallesi,20 Aralık 2023,Satılık,90 M2,2+1,2.Kat,Yerden Isıtma,Krediye Uygun,,Boş,1,,,20 Aralık 2023,Konut,Daire,110 M2,0 (Yeni),3,Boş,Bilinmiyor,Evet,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
14427023,"2,600,000TL",Antalya - Muratpaşa - Konuksever Mahallesi,20 Aralık 2023,Satılık,110 M2,2+1,2.Kat,Kat Kaloriferi,Krediye Uygun Değil,,Boş,1,,1,20 Aralık 2023,Konut,Daire,120 M2,11-15,4,Mülk Sahibi Oturuyor,,Hayır,Var,,,Genel Fiyat,,,,İkinci El,,,100 TL,,,,,,,,
14427021,"2,500,000TL",Antalya - Döşemealtı - Bahçeyaka Mahallesi,20 Aralık 2023,Satılık,95 M2,2+1,2.Kat,Yerden Isıtma,Krediye Uygun,,Boş,1,,,20 Aralık 2023,Konut,Daire,110 M2,0 (Yeni),3,Boş,Bilinmiyor,Hayır,Var,,,Genel Fiyat,,,,,,,,,,,,,,,
14426988,"4,700,000TL",Antalya - Aksu - Altıntaş Mahallesi,20 Aralık 2023,Satılık,60 M2,1+1,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun,,,1,,,20 Aralık 2023,Konut,Daire,65 M2,0 (Yeni),7,Boş,,Hayır,,,,Genel Fiyat,Kat Mülkiyeti,,,Sıfır,,Hayır,,,,,,,,,
14426977,"4,700,000TL",Antalya - Aksu - Altıntaş Mahallesi,20 Aralık 2023,Satılık,60 M2,1+1,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun,,,1,,,20 Aralık 2023,Konut,Daire,65 M2,0 (Yeni),7,Boş,,Evet,,,,Genel Fiyat,Kat Mülkiyeti,,,Sıfır,,Hayır,,,,,,,,,
14426952,"2,200,000TL",Antalya - Kepez - Yükseliş Mahallesi,20 Aralık 2023,Satılık,85 M2,2+1,2.Kat,Klimalı,Krediye Uygun,,,1,,1,20 Aralık 2023,Konut,Daire,105 M2,16-20,4,Boş,Yatırıma Uygun,Hayır,,Var,,Genel Fiyat,Müstakil Tapulu,,,,,,,,,,,,,,
14426940,"4,700,000TL",Antalya - Aksu - Altıntaş Mahallesi,20 Aralık 2023,Satılık,60 M2,1+1,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun,,,1,,,20 Aralık 2023,Konut,Daire,65 M2,0 (Yeni),7,Boş,,Evet,,,,Genel Fiyat,,,,,,,,,,,,,,,
14426909,"4,200,000TL",Antalya - Alanya - Payallar Mahallesi,20 Aralık 2023,Satılık,200 M2,4+1,4.Kat,Klimalı,Krediye Uygun,,Boş,3,3,3,20 Aralık 2023,Konut,Daire,210 M2,0 (Yeni),4,Boş,Yatırıma Uygun,Hayır,Yok,Var," Açık Balkon, Açık Teras  ",Genel Fiyat,Kat Mülkiyeti,,,Sıfır,,Evet,,,,,,,,,
14426840,"3,000,000TL",Antalya - Muratpaşa - Yenigün Mahallesi,20 Aralık 2023,Satılık,130 M2,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Boş,1,,,20 Aralık 2023,Konut,Daire,140 M2,11-15,4,Kiracı Oturuyor,,Hayır,Yok,Var,,Genel Fiyat,,,,İkinci El,,,,,,,,,,,
